D00210.001,D00120.001
-0.022374,1.231438
0.546850,1.369012
5.172805,1.440782
0.270163,1.664651
0.370137,1.220780
0.348070,1.602110
0.102531,2.387641
0.482063,1.615895
4.061228,1.260428
0.419334,0.784008
0.398000,1.591363
0.290329,2.422652
4.161772,1.385093
-0.073483,0.639346
3.373950,2.261234
0.356444,0.834147
0.386176,2.435883
1.200246,1.873828
5.199559,1.137770
1.565416,2.565684
0.393625,1.191738
0.514059,1.565831
5.560859,1.416963
1.191659,0.553821
-0.010825,0.804888
0.560689,0.996011
1.662233,1.783468
0.229912,1.194331
2.178093,1.274670
2.108005,0.682267
1.592427,1.638916
0.080503,1.076171
0.173403,1.197527
0.082819,0.613385
0.139894,1.190391
5.093506,1.868003
2.753178,2.805081
0.191630,1.881431
0.018267,1.144600
0.694027,1.050892
2.866925,2.193279
0.422150,2.511490
1.345929,1.061757
0.921431,1.958395
4.547947,0.778723
6.194457,0.926763
4.250781,1.525128
0.173983,2.122863
0.679423,2.010975
2.975476,2.809496
0.046282,1.313313
4.852176,1.499028
0.986762,1.599551
0.075842,0.776708
1.425295,1.238219
0.289165,1.061053
4.613592,2.012782
0.062177,0.951962
2.105300,2.300451
4.036611,3.360489
4.045374,1.938995
0.455934,2.268986
1.517444,2.408741
0.078663,1.730710
4.859957,3.013773
3.068778,1.781910
0.722380,1.090693
0.580943,1.604345
0.384694,1.025926
1.257541,2.708013
0.235098,1.956961
0.326349,1.734046
2.706491,0.823302
4.089127,1.993901
1.792115,1.584497
0.134998,0.930790
0.595546,0.756486
1.675477,1.514368
0.424575,2.156841
3.268730,1.012187
5.614510,1.216165
0.559894,2.468813
7.079342,0.552139
5.784751,2.627474
1.264559,1.341000
0.236318,3.064415
0.635435,0.917640
0.651742,1.329860
0.207120,1.200986
0.127757,2.216288
3.262216,3.525623
1.228764,1.298041
1.105718,1.786699
3.312329,1.513020
4.995696,1.516259
-0.113249,1.664923
0.080895,1.059267
0.566972,1.597551
1.100811,2.587888
0.163301,1.884215
1.250418,0.487478
0.096909,1.185244
2.762386,1.464608
0.364615,1.378626
4.728313,2.135663
0.018136,2.832211
3.282508,1.139333
1.474469,1.318230
0.370205,3.146752
1.557487,1.763571
4.621467,2.426360
0.077103,1.460170
0.055834,1.767260
0.064505,2.124341
6.440516,2.341688
0.245692,2.378345
4.759743,2.602069
0.312622,1.691883
1.889872,1.225157
0.746893,1.388301
0.346498,1.802533
0.006184,1.529292
3.915736,1.498028
6.263424,3.307747
0.250806,3.412952
0.624310,2.234026
7.169781,1.304632
0.206923,1.511239
6.217833,1.103891
0.397282,1.730750
0.489248,2.332350
5.983950,1.414542
-0.004096,0.827398
1.195453,1.463601
2.577475,3.648084
0.902115,2.059458
7.097013,0.991659
1.077851,0.625654
1.355727,1.443991
2.790057,1.259373
4.530810,1.265646
5.036174,1.287403
3.193716,1.595290
0.886915,1.649978
0.415134,1.710003
-0.118714,0.684359
0.076920,2.081661
3.859725,1.744931
3.982083,1.211084
0.132041,0.628733
0.628962,1.690086
0.160073,2.350789
0.019876,1.629518
0.561081,2.425416
0.050172,1.428898
-0.052364,1.392473
0.756608,1.362007
1.454324,2.080844
0.211862,1.581001
-0.052929,0.869763
5.511930,0.679721
0.257376,0.795014
3.194271,0.796324
2.798625,0.882487
0.256027,1.130524
-0.079367,1.277246
0.313575,2.654762
5.021423,2.128923
0.331448,1.357344
2.551580,1.653203
0.346839,1.853580
0.818252,1.947728
0.762346,1.504185
6.186501,1.110080
0.321587,0.470103
0.279990,2.085265
0.805115,2.279100
0.098053,1.175402
4.497634,3.287057
0.447527,1.135338
4.644331,2.383715
5.841775,1.817191
1.005437,2.303302
0.151152,0.307863
6.056602,2.648486
0.142450,0.741669
4.625852,0.333458
0.622719,1.210907
0.025312,2.072252
0.269924,0.843093
4.739047,0.848092
0.370985,0.462017
0.245362,1.695069
0.401156,2.206370
0.574241,0.477475
5.617308,1.095662
0.528696,1.388609
0.425898,1.563701
1.280080,2.186433
0.596950,1.411104
0.921443,1.316160
0.668820,2.406936
1.142681,0.851623
5.932328,2.783133
0.355972,0.533631
2.373714,1.503577
1.558864,1.043793
0.519079,1.382330
0.209778,1.389230
2.986969,1.571936
0.391091,2.091230
4.969333,1.457834
4.037715,1.783107
1.380696,1.406792
4.711514,0.909837
0.280107,0.887213
0.631813,1.336002
0.385938,0.946805
0.020621,0.765548
0.836650,3.190543
2.094130,1.402394
1.883229,0.258739
-0.110391,0.847968
3.320422,2.319854
0.102100,2.545834
0.562281,1.217846
0.985478,3.277536
0.185092,0.791078
0.371544,1.775064
2.035910,2.454774
0.270392,1.127822
0.913285,1.841978
0.408246,1.583117
1.861643,1.718941
4.421556,0.490803
5.031951,1.626004
6.136819,2.044656
0.018034,1.083599
0.628313,2.065988
0.245855,1.650885
0.008263,1.440631
1.835774,1.360142
0.183218,2.048757
